segment_id,start_ms,end_ms,duration_s,english_text,german_text
1,0,4099,4.10,Tanzania home to some of the most breathtaking wildlife on Earth,Tansania beherbergt einige der atemberaubendsten Wildtiere der Erde.
2,5000,12319,7.32,Here in the heart of East Africa the Great Serengeti National Park hosts one of nature's greatest spectacles the Great Migration,Hier im Herzen Ostafrikas beherbergt der große Serengeti-Nationalpark eines der größten Naturschauspiele: die große Migration.
3,13739,21840,8.10,Over a million wildebeest zebras and gazelles travel vast distances in search of fresh grass braving rivers filled with crocodiles,"Über eine Million Gnus, Zebras und Gazellen legen weite Strecken zurück auf der Suche nach frischem Gras und überwinden Flüsse voller Krokodile."
4,22639,24600,1.96,But predators are never far behind,Aber Räuber sind nie weit entfernt.
5,24600,30059,5.46,And lions the kings of the savannah stalk their prey with patience and precision,"Und Löwen, die Könige der Savanne, schleichen mit Geduld und Präzision ihrer Beute nach."
6,30700,35419,4.72,Cheetahs the fastest land animals chase down their targets in a thrilling display of speed,"Geparden, die schnellsten Landtiere, jagen ihre Ziele in einem aufregenden Geschwindigkeitsrausch."
7,36299,39900,3.60,In the lush Terenggara National Park giant elephants roam freely,Im üppigen Terenggara-Nationalpark streifen riesige Elefanten frei umher.
8,40639,44799,4.16,These intelligent creatures form strong family bonds protecting their young from threats,Diese intelligenten Wesen bilden starke Familienbande und schützen ihren Nachwuchs vor Bedrohungen.
9,45580,51659,6.08,And in the ancient Ngorongoro crater the endangered black rhino finds refuge a rare sight in the wild,Und im alten Ngorongoro-Krater findet das gefährdete schwarze Nashorn Zuflucht – ein seltener Anblick in der Wildnis.
10,52900,59680,6.78,Tanzania's wildlife is a treasure like no other a delicate balance of nature that reminds us of the beauty and power of the wild,"Tansanias Tierwelt ist ein einzigartiger Schatz, ein empfindliches Gleichgewicht der Natur, das uns an die Schönheit und Kraft der Wildnis erinnert."
